STT,Id,Mã KH,Tên,Điện thoại,Mã Số Thuế,Nhân viên bán hàng,Khu vực,Địa chỉ,Vĩ Độ,Kinh Độ,Xã/Tỉnh mới,,,
1,147591,2AG7HAI,7 HẢI,84977297941,89066002298,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"ẤP VĨNH THẠNH D, XÃ VĨNH XƯƠNG, TỈNH AN GIANG","10,8403154","105,1800477","Xã Vĩnh Xương,Tỉnh An Giang",,,
2,196285,2AGAGRI,CÔNG TY TNHH THOẠI SƠN AGRI,777693839,1602187276,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"Tổ 13, ấp Vĩnh Hiệp, Xã Vĩnh Khánh, Huyện Thoại Sơn, Tỉnh An Giang, Việt Nam","10,32283176","105,3302222","Xã Vĩnh Trạch,Tỉnh An Giang",,,
3,199019,2AGAGRIMART,CÔNG TY TNHH SIÊU THỊ NÔNG NGHIỆP AGRIMART,978999995,1702344892,Lê Hoàng Sơn,T21 - SÔNG HẬU 3,"Số nhà 527, Ấp Ngọc Thạnh, Xã Ngọc Chúc, Tỉnh An Giang, Việt Nam","9,8855878","105,3678419","Xã Ngọc Chúc,Tỉnh An Giang",,,
4,156131,2AGANHDUNG,HỘ KINH DOANH CỬA HÀNG VTNN ANH DŨNG,84901085239,1602006321,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"TỔ 7, ẤP TRUNG BÌNH, XÃ THOẠI GIANG, HUYỆN THOẠI SƠN, TỈNH AN GIANG","10,2616624","105,2549909","Xã Thoại Sơn,Tỉnh An Giang",,,
5,198222,2AGANNGHIA,CÔNG TY TNHH MAI ÂN NGHĨA,945169199,1602216086,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"Tổ 17, Ấp Long An, Xã Thạnh Mỹ Tây, Tỉnh An Giang, Việt Nam","10,60581844","105,1396179","Xã Thạnh Mỹ Tây,Tỉnh An Giang",,,
6,161602,2AGANPHAT,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP AN PHÁT,84913712377,1600999804,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"TỔ 2, ẤP HÒA TÂN, XÃ ĐỊNH THÀNH, HUYỆN THOẠI SƠN, TỈNH AN GIANG","10,31388954","105,3147705","Xã Định Mỹ,Tỉnh An Giang",,,
7,198481,2AGANTIEN,CÔNG TY TNHH BẢO VỆ THỰC VẬT ÂN TIẾN,949992062,1602214836,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"Ấp Sơn Thành, Xã Óc Eo, Tỉnh An Giang, Việt Nam.","10,2729513","105,202761","Xã Óc Eo,Tỉnh An Giang",,,
8,197789,2AGANTOAN,HỘ KINH DOANH NÔNG DƯỢC AN TOÀN,347565199,89094001462,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"Số 226, Đường Nguyễn Huệ, Ấp Bắc Sơn, Xã Thoại Sơn, Tỉnh An Giang, Việt Nam.","10,27480736","105,2730961","Xã Thoại Sơn,Tỉnh An Giang",,,
9,158264,2AGBABEN,BA BÉN,84916755209,89062000404,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"ẤP SƠN TÂN, XÃ ÓC EO,TỈNH AN GIANG","10,26138008","105,201604","Xã Óc Eo,Tỉnh An Giang",,,
10,198131,2AGBACHVINHLAM,HỘ KINH DOANH BÁCH VINH LÂM,908890982,87079000072,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"Đường Số 4, Ấp Vĩnh Lộc, Xã Vĩnh Bình, Huyện Châu Thành, Tỉnh An Giang.","10,44097968","105,1711881","Xã Vĩnh An,Tỉnh An Giang",,,
11,158529,2AGBAKHI,HỘ KINH DOANH BA KHI,84918272100,1600856475,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"SỐ 100, TỔ 3, ẤP LONG THUẬN, XÃ LONG GIANG, HUYỆN CHỢ MỚI, TỈNH AN GIANG","10,45068533","105,4416534","Xã Nhơn Mỹ,Tỉnh An Giang",,,
12,153712,2AGBANGAI,BA NGÀI,84985325587,89092004912,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"ẤP MỸ PHƯỚC, XÃ VĨNH THẠNH TRUNG, TỈNH AN GIANG","10,6122784","105,1455709","Xã Vĩnh Thạnh Trung,Tỉnh An Giang",,,
13,198877,2AGBAOHAN,HỘ KINH DOANH VẬT TƯ NÔNG NGHIỆP BẢO HÂN,989847292,91185001305,NGUYỄN TẤN THÀNH,T22 - SÔNG HẬU 4,"Tổ 6, ấp Tà Êm, Xã Vĩnh Điều, Tỉnh An Giang, Việt Nam","10,5005828","104,679248","Xã Vĩnh Điều,Tỉnh An Giang",,,
14,197229,2AGBAOPHUONG,HỘ KINH DOANH CỬA HÀNG VTNN BẢO PHƯƠNG,888332979,89197006840,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"Tổ 8, Ấp Hòa Lợi 1, Xã Vĩnh Lợi, Huyện Châu Thành, Tỉnh An Giang, Việt Nam.","10,40600615","105,3081406","Xã Cần Đăng,Tỉnh An Giang",,,
15,146610,2AGBAOTAI,BẢO TẠI,84981744878,89178021103,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ẤP TÂN LỢI, XÃ VĨNH AN, TỈNH AN GIANG","10,37188388","105,165189","Xã Vĩnh An,Tỉnh An Giang",,,
16,146611,2AGBAQUAT,BÁ QUÁT,84962575355,89086020292,Lê Phước Sang,T20 - SÔNG HẬU 2,"ẤP BA XƯA, XÃ THẠNH MỸ TÂY, TỈNH AN GIANG","10,5299835","105,134746","Xã Thạnh Mỹ Tây,Tỉnh An Giang",,,
